a cake was burned	burn ( theme = cake )
the box was eaten	eat ( theme = * box )
Emma smiled	smile ( agent = Emma )
the cookie was lent to Aiden	lend ( theme = * cookie , recipient = Aiden )
the dog poked the cake	poke ( agent = * dog , theme = * cake )
the boy rolled	roll ( theme = * boy )
a cake was given to Emma	give ( theme = cake , recipient = Emma )
a penny was grown by a child	grow ( theme = penny , agent = child )
a pony rolled the crayon in the cot	roll ( agent = pony , theme = * crayon ( nmod . in = * cot ) )
Ryan knew a cake	know ( agent = Ryan , theme = cake )
a dog cleaned	clean ( agent = dog )
a rose was pierced by a girl	pierce ( theme = rose , agent = girl )
Abigail returned a duck the cake	return ( agent = Abigail , recipient = duck , theme = * cake )
the cake was eaten by Liam	eat ( theme = * cake , agent = Liam )
a frog wanted to smirk	want ( agent = frog , xcomp = smirk ( agent = frog ) )
a bat was enlarged	enlarge ( theme = bat )
the raisin was sketched	sketch ( theme = * raisin )
Noah was lent a fruit on a table by Emma	lend ( recipient = Noah , theme = fruit ( nmod . on = table ) , agent = Emma )
the cat was sent the hammer beside a table by a girl	send ( recipient = * cat , theme = * hammer ( nmod . beside = table ) , agent = girl )
the cake was grown	grow ( theme = * cake )
a girl was given the cookie beside the toy	give ( recipient = girl , theme = * cookie ( nmod . beside = * toy ) )
Emma floated a pillow	float ( agent = Emma , theme = pillow )
a pizza was reddened by Isabella	redden ( theme = pizza , agent = Isabella )
the cake was sold to Emma	sell ( theme = * cake , recipient = Emma )
the can was collapsed	collapse ( theme = * can )
the girl ate	eat ( agent = * girl )
a bear noticed that the girl appreciated a boy	notice ( agent = bear , ccomp = appreciate ( agent = * girl , theme = boy ) )
a boy noticed that the cake was eaten by Noah	notice ( agent = boy , ccomp = eat ( theme = * cake , agent = Noah ) )
the box was liked by the girl	like ( theme = * box , agent = * girl )
the dog painted	paint ( agent = * dog )
the rose was painted	paint ( theme = * rose )
Ava returned Mason the sandwich in the box	return ( agent = Ava , recipient = Mason , theme = * sandwich ( nmod . in = * box ) )
Emma was loaned the donut beside the table by the boy	loan ( recipient = Emma , theme = * donut ( nmod . beside = * table ) , agent = * boy )
the girl gave the raisin to the buyer	give ( agent = * girl , theme = * raisin , recipient = * buyer )
a girl sent Olivia the box in a house	send ( agent = girl , recipient = Olivia , theme = * box ( nmod . in = house ) )
the girl believed that the cake was brought to a boy by the customer	believe ( agent = * girl , ccomp = bring ( theme = * cake , recipient = boy , agent = * customer ) )
a girl dusted Emma	dust ( agent = girl , theme = Emma )
Sophia was sent the cake by a teacher	send ( recipient = Sophia , theme = * cake , agent = teacher )
a boy slept	sleep ( agent = boy )
Emma sold a girl a cake in a car	sell ( agent = Emma , recipient = girl , theme = cake ( nmod . in = car ) )
Emma brought Liam a cake	bring ( agent = Emma , recipient = Liam , theme = cake )
Chloe slept	sleep ( agent = Chloe )
Avery slid Riley	slide ( agent = Avery , theme = Riley )
a cake was lent to Emma by a girl	lend ( theme = cake , recipient = Emma , agent = girl )
the potato was liked by William	like ( theme = * potato , agent = William )
a cake was rented to a boy	rent ( theme = cake , recipient = boy )
the cake was rolled	roll ( theme = * cake )
Lily painted	paint ( agent = Lily )
the cat was given a sandwich by a bird	give ( recipient = * cat , theme = sandwich , agent = bird )
Noah attempted to run	attempt ( agent = Noah , xcomp = run ( agent = Noah ) )
a girl adored the cat	adore ( agent = girl , theme = * cat )
Liam wanted to dance	want ( agent = Liam , xcomp = dance ( agent = Liam ) )
a dog gave Emma the cake	give ( agent = dog , recipient = Emma , theme = * cake )
a drink was tossed	toss ( theme = drink )
a bucket was promised to the boy	promise ( theme = bucket , recipient = * boy )
Liam rolled	roll ( theme = Liam )
the cat admired that a cake was rolled by the girl	admire ( agent = * cat , ccomp = roll ( theme = cake , agent = * girl ) )
a girl smiled	smile ( agent = girl )
Isabella was offered the cake	offer ( recipient = Isabella , theme = * cake )
a cake was eaten by a girl	eat ( theme = cake , agent = girl )
Emma sold the toy in the cabinet to a girl	sell ( agent = Emma , theme = * toy ( nmod . in = * cabinet ) , recipient = girl )
Carter was given the flower	give ( recipient = Carter , theme = * flower )
Liam drew	draw ( agent = Liam )
Amelia painted	paint ( agent = Amelia )
the girl crumpled Emma	crumple ( agent = * girl , theme = Emma )
a cake crumpled	crumple ( theme = cake )
Emma rolled	roll ( theme = Emma )
a girl valued the crayon	value ( agent = girl , theme = * crayon )
the jacket was given to a girl	give ( theme = * jacket , recipient = girl )
Emma hoped that the donut was inflated by a monkey	hope ( agent = Emma , ccomp = inflate ( theme = * donut , agent = monkey ) )
the rose was appreciated by a baby	appreciate ( theme = * rose , agent = baby )
a donut was heard	hear ( theme = donut )
the boy froze	freeze ( theme = * boy )
the cake was eaten	eat ( theme = * cake )
the raisin was passed to Mateo by Amelia	pass ( theme = * raisin , recipient = Mateo , agent = Amelia )
the melon was rolled by a coach	roll ( theme = * melon , agent = coach )
the girl froze a box	freeze ( agent = * girl , theme = box )
Emma mailed a girl a sweetcorn in a car	mail ( agent = Emma , recipient = girl , theme = sweetcorn ( nmod . in = car ) )
a chicken said that a pupil loaned a cake to Emma	say ( agent = chicken , ccomp = loan ( agent = pupil , theme = cake , recipient = Emma ) )
Emma loaned Lincoln a cake	loan ( agent = Emma , recipient = Lincoln , theme = cake )
the present rolled	roll ( theme = * present )
a passenger was given a cake on a stack by Michael	give ( recipient = passenger , theme = cake ( nmod . on = stack ) , agent = Michael )
Emma ran	run ( agent = Emma )
a ball was snapped	snap ( theme = ball )
Olivia gave a cake on the table to Emma	give ( agent = Olivia , theme = cake ( nmod . on = * table ) , recipient = Emma )
the cookie was found by Ellie	find ( theme = * cookie , agent = Ellie )
the cake was shortened	shorten ( theme = * cake )
a girl was passed a cake by Hannah	pass ( recipient = girl , theme = cake , agent = Hannah )
a donut was eaten	eat ( theme = donut )
a sheep painted the pizza	paint ( agent = sheep , theme = * pizza )
a cake split	split ( theme = cake )
Isabella wished that a bowl was offered to a researcher by Grayson	wish ( agent = Isabella , ccomp = offer ( theme = bowl , recipient = researcher , agent = Grayson ) )
a cake was rolled	roll ( theme = cake )
a melon was rolled by a farmer	roll ( theme = melon , agent = farmer )
a teacher was given a pickle in a storage beside a chair	give ( recipient = teacher , theme = pickle ( nmod . in = storage ( nmod . beside = chair ) ) )
the cat was lent a cake beside the table by a boy	lend ( recipient = * cat , theme = cake ( nmod . beside = * table ) , agent = boy )
Liam slept	sleep ( agent = Liam )
Matthew was served a ball on the floor	serve ( recipient = Matthew , theme = ball ( nmod . on = * floor ) )
Emma was sold the raisin in a storage	sell ( recipient = Emma , theme = * raisin ( nmod . in = storage ) )
a girl slept	sleep ( agent = girl )
the girl ate the toy	eat ( agent = * girl , theme = * toy )
a boy was lent the block on a piano	lend ( recipient = boy , theme = * block ( nmod . on = piano ) )
a cookie was eaten	eat ( theme = cookie )
the girl was sent the cake beside the road	send ( recipient = * girl , theme = * cake ( nmod . beside = * road ) )
a cookie was shortened by the boy	shorten ( theme = cookie , agent = * boy )
a melon was packed	pack ( theme = melon )
Emma ate	eat ( agent = Emma )
the girl rolled the muffin	roll ( agent = * girl , theme = * muffin )
a cloud was snapped by a girl	snap ( theme = cloud , agent = girl )
the girl hoped that Emma gave a cake beside a table to the cat	hope ( agent = * girl , ccomp = give ( agent = Emma , theme = cake ( nmod . beside = table ) , recipient = * cat ) )
Emma was given a cake beside a table	give ( recipient = Emma , theme = cake ( nmod . beside = table ) )
a girl liked that the cake was slid	like ( agent = girl , ccomp = slide ( theme = * cake ) )
Emma posted the box to a boy	post ( agent = Emma , theme = * box , recipient = boy )
Olivia was sent a cake	send ( recipient = Olivia , theme = cake )
a passenger rolled the present	roll ( agent = passenger , theme = * present )
Benjamin wanted to eat	want ( agent = Benjamin , xcomp = eat ( agent = Benjamin ) )
Emma slept	sleep ( agent = Emma )
a cookie was frozen	freeze ( theme = cookie )
the cracker was posted to Olivia	post ( theme = * cracker , recipient = Olivia )
the pickle was dusted	dust ( theme = * pickle )
a girl sneezed	sneeze ( agent = girl )
the rose was helped	help ( theme = * rose )
a donut was mailed to Elijah by the girl	mail ( theme = donut , recipient = Elijah , agent = * girl )
a boy gave the cake to the cat	give ( agent = boy , theme = * cake , recipient = * cat )
a cookie was given to Emma	give ( theme = cookie , recipient = Emma )
a dog lent a donut in the vehicle to Emma	lend ( agent = dog , theme = donut ( nmod . in = * vehicle ) , recipient = Emma )
a jigsaw rolled	roll ( theme = jigsaw )
the producer adored the game in a house	adore ( agent = * producer , theme = * game ( nmod . in = house ) )
the strawberry was brought to the moose by the boy	bring ( theme = * strawberry , recipient = * moose , agent = * boy )
the donut was promised to a turkey by Ethan	promise ( theme = * donut , recipient = turkey , agent = Ethan )
a donut was given to Emma by Olivia	give ( theme = donut , recipient = Emma , agent = Olivia )
Emma intended to run	intend ( agent = Emma , xcomp = run ( agent = Emma ) )
a doctor ate a cake beside a table	eat ( agent = doctor , theme = cake ( nmod . beside = table ) )
a box was grown by the child	grow ( theme = box , agent = * child )
the mouse doubled a cookie	double ( agent = * mouse , theme = cookie )
Lucas scoffed	scoff ( agent = Lucas )
the girl expected to walk	expect ( agent = * girl , xcomp = walk ( agent = * girl ) )
the girl enlarged	enlarge ( theme = * girl )
Liam was given the cake on the stage	give ( recipient = Liam , theme = * cake ( nmod . on = * stage ) )
the biscuit was studied	study ( theme = * biscuit )
the cake was promised to Emma	promise ( theme = * cake , recipient = Emma )
the cat ate a cake	eat ( agent = * cat , theme = cake )
Emma cooked the raisin	cook ( agent = Emma , theme = * raisin )
the cookie was liked	like ( theme = * cookie )
a strawberry was eaten by Victoria	eat ( theme = strawberry , agent = Victoria )
Emma floated	float ( theme = Emma )
a donut was rolled by Emma	roll ( theme = donut , agent = Emma )
the cat gave the block on the towel to a frog	give ( agent = * cat , theme = * block ( nmod . on = * towel ) , recipient = frog )
Noah shortened a cake beside the road	shorten ( agent = Noah , theme = cake ( nmod . beside = * road ) )
Emma supported that the frog brought a basket to the girl	support ( agent = Emma , ccomp = bring ( agent = * frog , theme = basket , recipient = * girl ) )
Jacob was sold a cake beside the table by Emma	sell ( recipient = Jacob , theme = cake ( nmod . beside = * table ) , agent = Emma )
a girl rolled the balloon on the table	roll ( agent = girl , theme = * balloon ( nmod . on = * table ) )
the donut was nursed	nurse ( theme = * donut )
the raisin was adored by a boy	adore ( theme = * raisin , agent = boy )
Jayden ate Emma	eat ( agent = Jayden , theme = Emma )
a cake was given to Emma by the girl	give ( theme = cake , recipient = Emma , agent = * girl )
the banana was shortened	shorten ( theme = * banana )
Zoe said that Elijah served Olivia a cake on a stage	say ( agent = Zoe , ccomp = serve ( agent = Elijah , recipient = Olivia , theme = cake ( nmod . on = stage ) ) )
a sandwich was served to a bear	serve ( theme = sandwich , recipient = bear )
a raisin was disintegrated	disintegrate ( theme = raisin )
the cake was painted	paint ( theme = * cake )
the donut was appreciated	appreciate ( theme = * donut )
Liam liked that a donut was burned by Dylan	like ( agent = Liam , ccomp = burn ( theme = donut , agent = Dylan ) )
a fruit was frozen	freeze ( theme = fruit )
Emma drew	draw ( agent = Emma )
the boy helped the book on the bench	help ( agent = * boy , theme = * book ( nmod . on = * bench ) )
Emma was promised the bat	promise ( recipient = Emma , theme = * bat )
Isabella was passed the box in the house by a cat	pass ( recipient = Isabella , theme = * box ( nmod . in = * house ) , agent = cat )
the bowl was eaten by Olivia	eat ( theme = * bowl , agent = Olivia )
a girl liked the dog	like ( agent = girl , theme = * dog )
Olivia laughed	laugh ( agent = Olivia )
Liam tried to walk	try ( agent = Liam , xcomp = walk ( agent = Liam ) )
Emma packed	pack ( agent = Emma )
a melon was cleaned by the goose	clean ( theme = melon , agent = * goose )
a girl ate Emma	eat ( agent = girl , theme = Emma )
a hen rolled	roll ( theme = hen )
a cat sketched	sketch ( agent = cat )
Ava was served a cake beside a stage	serve ( recipient = Ava , theme = cake ( nmod . beside = stage ) )
the sandwich was loaned to the cat by a boy	loan ( theme = * sandwich , recipient = * cat , agent = boy )
the cake was touched by Abigail	touch ( theme = * cake , agent = Abigail )
the duck appreciated that a frog slept	appreciate ( agent = * duck , ccomp = sleep ( agent = frog ) )
the pillow was frozen	freeze ( theme = * pillow )
a girl disintegrated	disintegrate ( theme = girl )
Emma lent the box to a dog	lend ( agent = Emma , theme = * box , recipient = dog )
a donut was observed	observe ( theme = donut )
the boy slept	sleep ( agent = * boy )
Sofia declared that the glue was rolled by a child	declare ( agent = Sofia , ccomp = roll ( theme = * glue , agent = child ) )
Harper sent a cake to James	send ( agent = Harper , theme = cake , recipient = James )
the cake was found	find ( theme = * cake )
a book was given to Noah by Isabella	give ( theme = book , recipient = Noah , agent = Isabella )
Brooklyn laughed	laugh ( agent = Brooklyn )
a present was crumpled	crumple ( theme = present )
Emma lent the bowl in a can to the boy	lend ( agent = Emma , theme = * bowl ( nmod . in = can ) , recipient = * boy )
a boy painted	paint ( agent = boy )
Emma rolled Noah	roll ( agent = Emma , theme = Noah )
William floated the leaf in a barrel	float ( agent = William , theme = * leaf ( nmod . in = barrel ) )
a cat rolled	roll ( theme = cat )
the drink was lent to the cat	lend ( theme = * drink , recipient = * cat )
a donut was changed by Emma	change ( theme = donut , agent = Emma )
a bat was liked	like ( theme = bat )
a plate was split	split ( theme = plate )
a girl was sold the cake	sell ( recipient = girl , theme = * cake )
a brush was touched by a lion	touch ( theme = brush , agent = lion )
the cake was adored	adore ( theme = * cake )
the farmer smiled	smile ( agent = * farmer )
a girl was lent the cookie in a car by Emma	lend ( recipient = girl , theme = * cookie ( nmod . in = car ) , agent = Emma )
the girl was sold the drink in the car	sell ( recipient = * girl , theme = * drink ( nmod . in = * car ) )
Emma was given a banana	give ( recipient = Emma , theme = banana )
the box was given to Isabella by the frog	give ( theme = * box , recipient = Isabella , agent = * frog )
a cake was respected	respect ( theme = cake )
a rose was eaten by Emma	eat ( theme = rose , agent = Emma )
Emma fed a lamb the raisin beside the poster	feed ( agent = Emma , recipient = lamb , theme = * raisin ( nmod . beside = * poster ) )
a patient was given a box by the boy	give ( recipient = patient , theme = box , agent = * boy )
a cake broke	break ( theme = cake )
Oliver respected that the cookie rolled	respect ( agent = Oliver , ccomp = roll ( theme = * cookie ) )
the cake was seen	see ( theme = * cake )
a cake was offered to a tiger	offer ( theme = cake , recipient = tiger )
Emma admired that a cookie was tolerated by the hen	admire ( agent = Emma , ccomp = tolerate ( theme = cookie , agent = * hen ) )
Olivia shortened Noah	shorten ( agent = Olivia , theme = Noah )
the cookie was cleaned by the girl	clean ( theme = * cookie , agent = * girl )
a girl found the cat	find ( agent = girl , theme = * cat )
the boy liked a pumpkin beside a table	like ( agent = * boy , theme = pumpkin ( nmod . beside = table ) )
the cat passed the glue beside a table to a girl	pass ( agent = * cat , theme = * glue ( nmod . beside = table ) , recipient = girl )
a shirt was nursed	nurse ( theme = shirt )
a can was drawn	draw ( theme = can )
Isabella tolerated that a cat was given a block	tolerate ( agent = Isabella , ccomp = give ( recipient = cat , theme = block ) )
the bell was given to Olivia	give ( theme = * bell , recipient = Olivia )
Liam liked that a cake was cooked by Benjamin	like ( agent = Liam , ccomp = cook ( theme = cake , agent = Benjamin ) )
the monkey loaned the balloon to Emma	loan ( agent = * monkey , theme = * balloon , recipient = Emma )
the donut was floated	float ( theme = * donut )
a pickle was promised to Charlotte	promise ( theme = pickle , recipient = Charlotte )
Michael offered the girl a cookie on a desk	offer ( agent = Michael , recipient = * girl , theme = cookie ( nmod . on = desk ) )
a girl was offered a book on a box	offer ( recipient = girl , theme = book ( nmod . on = box ) )
the gumball was eaten	eat ( theme = * gumball )
Isabella was rented the cake in a wagon by a lion	rent ( recipient = Isabella , theme = * cake ( nmod . in = wagon ) , agent = lion )
Eleanor froze	freeze ( theme = Eleanor )
the cake was liked by a baby	like ( theme = * cake , agent = baby )
a donut was helped	help ( theme = donut )
a girl ate	eat ( agent = girl )
Michael liked that the boy drew the game beside a chair	like ( agent = Michael , ccomp = draw ( agent = * boy , theme = * game ( nmod . beside = chair ) ) )
Emma froze the teacher in the house	freeze ( agent = Emma , theme = * teacher ( nmod . in = * house ) )
a banana was floated by Logan	float ( theme = banana , agent = Logan )
a child ate a cake beside the road	eat ( agent = child , theme = cake ( nmod . beside = * road ) )
Emma wanted to run	want ( agent = Emma , xcomp = run ( agent = Emma ) )
the girl stabbed Olivia	stab ( agent = * girl , theme = Olivia )
the girl gave Noah a cake	give ( agent = * girl , recipient = Noah , theme = cake )
a bean was reddened	redden ( theme = bean )
a girl believed that a cake was respected by Noah	believe ( agent = girl , ccomp = respect ( theme = cake , agent = Noah ) )
Emma liked that the sheep adored Amelia	like ( agent = Emma , ccomp = adore ( agent = * sheep , theme = Amelia ) )
a scarf was eaten	eat ( theme = scarf )
the girl gave the bird the cake	give ( agent = * girl , recipient = * bird , theme = * cake )
a dog awarded the sandwich to Benjamin	award ( agent = dog , theme = * sandwich , recipient = Benjamin )
Abigail rolled the girl on a chair	roll ( agent = Abigail , theme = * girl ( nmod . on = chair ) )
a girl was wired a book	wire ( recipient = girl , theme = book )
Emma wanted to sneeze	want ( agent = Emma , xcomp = sneeze ( agent = Emma ) )
Emma proved that Benjamin rolled	prove ( agent = Emma , ccomp = roll ( theme = Benjamin ) )
a cake was painted by the girl	paint ( theme = cake , agent = * girl )
a box was liked by Emma	like ( theme = box , agent = Emma )
Noah appreciated that Michael respected a girl beside the giant	appreciate ( agent = Noah , ccomp = respect ( agent = Michael , theme = girl ( nmod . beside = * giant ) ) )
the donut was rolled	roll ( theme = * donut )
the farmer sold the cake in the crib to Emma	sell ( agent = * farmer , theme = * cake ( nmod . in = * crib ) , recipient = Emma )
the box was adored by Emma	adore ( theme = * box , agent = Emma )
a cake was given to Liam by Amelia	give ( theme = cake , recipient = Liam , agent = Amelia )
Benjamin rolled	roll ( theme = Benjamin )
the hat was collapsed	collapse ( theme = * hat )
the farmer ate a dog on the bed	eat ( agent = * farmer , theme = dog ( nmod . on = * bed ) )
the boy admired that a donut was called	admire ( agent = * boy , ccomp = call ( theme = donut ) )
Olivia ate a chalk	eat ( agent = Olivia , theme = chalk )
a sandwich was given to Elizabeth by Noah	give ( theme = sandwich , recipient = Elizabeth , agent = Noah )
Emma lent Oliver a bat	lend ( agent = Emma , recipient = Oliver , theme = bat )
a girl poked a ball	poke ( agent = girl , theme = ball )
the donut was helped by a girl	help ( theme = * donut , agent = girl )
the cookie was eaten by the child	eat ( theme = * cookie , agent = * child )
a butterfly sold a dog a rose in the cabinet	sell ( agent = butterfly , recipient = dog , theme = rose ( nmod . in = * cabinet ) )
the cake was tolerated	tolerate ( theme = * cake )
the donut was frozen	freeze ( theme = * donut )
a cat ate a cake beside the tree	eat ( agent = cat , theme = cake ( nmod . beside = * tree ) )
the pretzel was doubled	double ( theme = * pretzel )
the rose changed	change ( theme = * rose )
Emma broke a toothbrush on a computer on the boat	break ( agent = Emma , theme = toothbrush ( nmod . on = computer ( nmod . on = * boat ) ) )
the girl wanted to walk	want ( agent = * girl , xcomp = walk ( agent = * girl ) )
a rose was liked	like ( theme = rose )
the girl was awarded the radio	award ( recipient = * girl , theme = * radio )
Liam was lent the donut by a girl	lend ( recipient = Liam , theme = * donut , agent = girl )
a horse painted Sophia	paint ( agent = horse , theme = Sophia )
the cup was liked	like ( theme = * cup )
Emma was given the rose	give ( recipient = Emma , theme = * rose )
Olivia slept	sleep ( agent = Olivia )
Harper painted	paint ( agent = Harper )
Liam wanted to smirk	want ( agent = Liam , xcomp = smirk ( agent = Liam ) )
a soap was given to the bunny by Emma	give ( theme = soap , recipient = * bunny , agent = Emma )
a girl hoped that a muffin was given to Jackson	hope ( agent = girl , ccomp = give ( theme = muffin , recipient = Jackson ) )
a crayon was tolerated	tolerate ( theme = crayon )
Oliver broke the melon beside a seat	break ( agent = Oliver , theme = * melon ( nmod . beside = seat ) )
Abigail gave Aiden a donut beside the table	give ( agent = Abigail , recipient = Aiden , theme = donut ( nmod . beside = * table ) )
a boy passed a girl the cake on the surface beside a table	pass ( agent = boy , recipient = girl , theme = * cake ( nmod . on = * surface ( nmod . beside = table ) ) )
the cake was given to a horse by the girl	give ( theme = * cake , recipient = horse , agent = * girl )
a cake was dusted	dust ( theme = cake )
the drink split	split ( theme = * drink )
Olivia noticed that the sandwich was adored	notice ( agent = Olivia , ccomp = adore ( theme = * sandwich ) )
a sheep returned Emma a cake	return ( agent = sheep , recipient = Emma , theme = cake )
Isabella packed	pack ( agent = Isabella )
Noah studied a cookie	study ( agent = Noah , theme = cookie )
the pillow was tolerated	tolerate ( theme = * pillow )
Emma examined Olivia	examine ( agent = Emma , theme = Olivia )
the cookie was heard by a girl	hear ( theme = * cookie , agent = girl )
Aiden packed a cookie	pack ( agent = Aiden , theme = cookie )
a pancake was loved by Liam	love ( theme = pancake , agent = Liam )
James promised a cake on the gravel to Liam	promise ( agent = James , theme = cake ( nmod . on = * gravel ) , recipient = Liam )
a frog slid a boy	slide ( agent = frog , theme = boy )
a girl touched the donut beside the stage	touch ( agent = girl , theme = * donut ( nmod . beside = * stage ) )
the hero tolerated Emma	tolerate ( agent = * hero , theme = Emma )
Emma ate a muffin in the room	eat ( agent = Emma , theme = muffin ( nmod . in = * room ) )
Emma offered Amelia a ball beside a stool	offer ( agent = Emma , recipient = Amelia , theme = ball ( nmod . beside = stool ) )
a donut was lent to the boy by Liam	lend ( theme = donut , recipient = * boy , agent = Liam )
the prince loved a bat beside the table	love ( agent = * prince , theme = bat ( nmod . beside = * table ) )
a book was frozen	freeze ( theme = book )
the lollipop was cleaned	clean ( theme = * lollipop )
Olivia liked that Emma preferred to run	like ( agent = Olivia , ccomp = prefer ( agent = Emma , xcomp = run ( agent = Emma ) ) )
a cake was tolerated by Emma	tolerate ( theme = cake , agent = Emma )
a donkey lent Mila the cookie in the house	lend ( agent = donkey , recipient = Mila , theme = * cookie ( nmod . in = * house ) )
Harper gave Ava the cookie beside a table	give ( agent = Harper , recipient = Ava , theme = * cookie ( nmod . beside = table ) )
Emma was given the balloon by a dog	give ( recipient = Emma , theme = * balloon , agent = dog )
the muffin was frozen	freeze ( theme = * muffin )
a cup was drawn	draw ( theme = cup )
the cake was crumpled by Emma	crumple ( theme = * cake , agent = Emma )
a giraffe handed Emma a fig	hand ( agent = giraffe , recipient = Emma , theme = fig )
Elijah burned	burn ( theme = Elijah )
the boy attempted to walk	attempt ( agent = * boy , xcomp = walk ( agent = * boy ) )
the cake was given to Noah by Emma	give ( theme = * cake , recipient = Noah , agent = Emma )
a girl froze Emma	freeze ( agent = girl , theme = Emma )
a chicken drew a coin	draw ( agent = chicken , theme = coin )
a box was given to a professor	give ( theme = box , recipient = professor )
